"time","HEOG"
0.86,0.0957405
0.862,0.091911
0.864,0.09957
0.866,0.1072305
0.868,0.0957405
0.87,0.09957
0.872,0.1033995
0.874,0.091911
0.876,0.084252
0.878,0.09957
0.88,0.091911
0.882,0.084252
0.884,0.091911
0.886,0.09957
0.888,0.0880815
0.89,0.091911
0.892,0.0957405
0.894,0.0957405
0.896,0.0957405
0.898,0.0880815
0.9,0.0957405
0.902,0.1033995
0.904,0.0880815
0.906,0.0804225
0.908,0.084252
0.91,0.084252
0.912,0.0727635
0.914,0.0804225
0.916,0.0880815
0.918,0.0804225
0.92,0.0804225
0.922,0.0804225
0.924,0.0804225
0.926,0.0727635
0.928,0.0957405
0.93,0.09957
0.932,0.076593
0.934,0.0880815
0.936,0.09957
0.938,0.0804225
0.94,0.084252
0.942,0.1033995
0.944,0.09957
0.946,0.0804225
0.948,0.09957
0.95,0.0880815
0.952,0.084252
0.954,0.0880815
0.956,0.0957405
0.958,0.0880815
0.96,0.0880815
0.962,0.09957
0.964,0.091911
0.966,0.091911
0.968,0.09957
0.97,0.0957405
0.972,0.0880815
0.974,0.0804225
0.976,0.09957
0.978,0.0957405
0.98,0.0804225
0.982,0.0880815
0.984,0.0880815
0.986,0.09957
0.988,0.091911
0.99,0.084252
0.992,0.091911
0.994,0.1033995
0.996,0.09957
0.998,0.0957405
1,0.1033995
1.002,0.0957405
1.004,0.091911
1.006,0.0957405
1.008,0.1072305
1.01,0.0957405
1.012,0.09957
1.014,0.11106
1.016,0.1033995
1.018,0.1033995
1.02,0.1072305
1.022,0.1072305
1.024,0.0957405
1.026,0.1072305
1.028,0.118719
1.03,0.11106
1.032,0.11106
1.034,0.118719
1.036,0.11106
1.038,0.1033995
1.04,0.11106
1.042,0.11106
1.044,0.09957
1.046,0.11106
1.048,0.118719
1.05,0.11106
1.052,0.0957405
1.054,0.1072305
1.056,0.1148895
1.058,0.1072305
1.06,0.09957
1.062,0.0957405
1.064,0.1033995
1.066,0.1033995
1.068,0.09957
1.07,0.1072305
1.072,0.1148895
1.074,0.1033995
1.076,0.0957405
1.078,0.11106
1.08,0.11106
1.082,0.091911
1.084,0.091911
1.086,0.09957
1.088,0.11106
1.09,0.091911
1.092,0.09957
1.094,0.11106
1.096,0.09957
1.098,0.0880815
1.1,0.0957405
1.102,0.1033995
1.104,0.11106
1.106,0.09957
1.108,0.09957
1.11,0.11106
1.112,0.1033995
1.114,0.0957405
1.116,0.1072305
1.118,0.1148895
1.12,0.1072305
1.122,0.0957405
1.124,0.0957405
1.126,0.11106
1.128,0.1033995
1.13,0.0880815
1.132,0.091911
1.134,0.091911
1.136,0.091911
1.138,0.0804225
1.14,0.1033995
1.142,0.0957405
1.144,0.084252
1.146,0.0957405
1.148,0.1033995
1.15,0.084252
1.152,0.076593
1.154,0.0957405
1.156,0.0804225
1.158,0.068934
1.16,0.0804225
