"time","HEOG"
1.106,0.06638
1.108,0.06638
1.11,0.07404
1.112,0.068933
1.114,0.063827
1.116,0.071487
1.118,0.076593
1.12,0.071487
1.122,0.063827
1.124,0.063827
1.126,0.07404
1.128,0.068933
1.13,0.058721
1.132,0.061274
1.134,0.061274
1.136,0.061274
1.138,0.053615
1.14,0.068933
1.142,0.063827
1.144,0.056168
1.146,0.063827
1.148,0.068933
1.15,0.056168
1.152,0.051062
1.154,0.063827
1.156,0.053615
1.158,0.045956
1.16,0.053615
1.162,0.053615
1.164,0.053615
1.166,0.056168
1.168,0.061274
1.17,0.058721
1.172,0.053615
1.174,0.06638
1.176,0.058721
1.178,0.048509
1.18,0.056168
1.182,0.053615
1.184,0.045956
1.186,0.058721
1.188,0.053615
1.19,0.043403
1.192,0.045956
1.194,0.051062
1.196,0.056168
1.198,0.043403
1.2,0.048509
1.202,0.048509
1.204,0.043403
1.206,0.048509
1.208,0.056168
1.21,0.043403
1.212,0.048509
1.214,0.051062
1.216,0.045956
1.218,0.058721
1.22,0.053615
1.222,0.045956
1.224,0.061274
1.226,0.053615
1.228,0.045956
1.23,0.053615
1.232,0.051062
1.234,0.045956
1.236,0.053615
1.238,0.058721
1.24,0.051062
1.242,0.048509
1.244,0.056168
1.246,0.053615
1.248,0.061274
1.25,0.048509
1.252,0.053615
1.254,0.058721
1.256,0.051062
1.258,0.045956
1.26,0.051062
1.262,0.058721
1.264,0.045956
1.266,0.051062
1.268,0.053615
1.27,0.053615
1.272,0.048509
1.274,0.053615
1.276,0.056168
1.278,0.045956
1.28,0.053615
1.282,0.053615
1.284,0.045956
1.286,0.051062
1.288,0.058721
1.29,0.053615
1.292,0.051062
1.294,0.058721
1.296,0.053615
1.298,0.053615
1.3,0.051062
1.302,0.051062
1.304,0.048509
1.306,0.051062
1.308,0.051062
1.31,0.043403
1.312,0.056168
1.314,0.051062
1.316,0.043403
1.318,0.053615
1.32,0.048509
1.322,0.043403
1.324,0.053615
1.326,0.048509
1.328,0.038297
1.33,0.045956
1.332,0.043403
1.334,0.038297
1.336,0.051062
1.338,0.043403
1.34,0.045956
1.342,0.051062
1.344,0.045956
1.346,0.038297
1.348,0.051062
1.35,0.045956
1.352,0.045956
1.354,0.053615
1.356,0.045956
1.358,0.045956
1.36,0.053615
1.362,0.045956
1.364,0.04085
1.366,0.045956
1.368,0.056168
1.37,0.051062
1.372,0.051062
1.374,0.061274
1.376,0.058721
1.378,0.043403
1.38,0.048509
1.382,0.045956
1.384,0.043403
1.386,0.051062
1.388,0.038297
1.39,0.04085
1.392,0.043403
1.394,0.043403
1.396,0.035743
