"x","cooks_d"
226,0.0110729968060413
227,0.00401230427544613
228,0.00165321922903094
229,0.000704655544951233
230,0.000255085034032069
231,0.00196214672276551
232,0.000604803008765634
233,0.00148150890857493
234,0.00047697101487807
235,0.000668680331404406
236,0.00183913866812085
237,0.00070366013941224
238,0.00277875860622242
239,0.00169423986257939
240,0.000610881818973152
241,0.00319395759340085
242,0.00320794564207953
243,0.00323018518330753
244,0.00152394370090664
245,0.000824982480008388
246,0.000991651507997576
247,0.000411833390501547
248,0.00450639117069332
249,5.90657145284938e-05
250,0.00137756223757896
251,0.00133119775640524
252,4.63034269557395e-09
253,0.000466797550643507
254,0.00224880781718831
255,0.0039149992467893
256,0.00368675871860361
257,2.96079721994219e-06
258,1.71879464120889e-06
259,0.00344373446997959
260,0.0108163875793816
261,0.000680408261327254
262,0.00293161427452565
263,6.83233838878712e-05
264,0.00395527026061576
265,0.00645460483623118
266,1.48160143256387e-05
267,0.00232564915246503
268,0.000873872398619192
269,1.3079375844359e-05
270,0.00313250158473662
271,0.00205900627420851
272,0.000841033971745707
273,0.00159611372352944
274,0.000689397906173961
275,0.00169348693763668
276,0.00299070577989489
277,4.32014414687644e-05
278,0.00014593964475281
279,0.00538428256045881
280,0.000237797615138134
281,6.60967533994748e-06
282,0.00033098782681644
283,0.00227013758708975
284,0.00128632708668291
285,0.00299035254042938
286,0.00183850056326678
287,0.0437076514671203
288,2.50955743295298e-07
289,0.00500357212573422
290,0.00521208923600776
291,0.00933883817067646
292,0.00177607093896264
293,0.00100983800760537
294,0.00509729363098576
295,0.00983628387782787
296,7.71793957585811e-07
297,0.000566483628363164
298,0.000661338609598836
299,0.00115370344047835
300,0.00726582100098786
301,0.00363287512837954
302,9.61651644487998e-05
303,6.07484447496343e-06
304,0.00490072074049493
305,1.67658181178994e-05
306,0.00475090167154853
307,4.41779422571656e-06
308,0.00627093055546953
309,0.0105110009875381
310,0.00496568546697777
311,0.00457338147665527
312,0.00570331310618912
313,0.00526822350810371
